mistura1,mistura2,mistura3,mistura4,mistura5,mistura6,mistura7,mistura8,mistura9
-1.0061407605710526,0.6322479117522942,0.2075321447078867,-0.47690437383014805,0.8780844584580101,-0.16401570883349526,0.1375141871174928,0.48142596064500437,2.610064271817443
-1.0253306596903502,0.6106345886824767,0.18549555454087777,-0.4361769017588464,0.8767879588111261,-0.17295107513860006,0.10735739135277227,0.4922017547048247,2.5826315695937163
-0.9274373253899351,0.6115917865706815,0.2582816669302314,-0.4920069328899843,0.9266064789674247,-0.17518136185634728,0.1543600344439827,0.49119354543277643,2.751899087289
-0.9033974359211198,0.586046946277599,0.2814205868137855,-0.5023575481061369,0.9406373220012558,-0.17628799680001703,0.19117668348378578,0.5048392212449683,2.7545151401873578
-1.0138499432428794,0.55559957721492,0.202694485338942,-0.4187460241028443,0.9102739606957974,-0.17466577786753137,0.1432639444530467,0.5223113675122599,2.601452612011019
-1.1308921059110348,0.6134005530705291,0.10383558337077306,-0.3342868162084894,0.85927391710095,-0.1363015414788725,0.03927574925552379,0.5072441896099126,2.5115754717743477
-1.2232785671089914,0.6780787244013939,0.047001771806624494,-0.28937131431621393,0.8524010759595333,-0.10114991672509488,-0.002721379403026656,0.48988304007274397,2.5139663245004815
-1.2591279123945796,0.7072522960516737,0.03357060259599779,-0.28621393879745727,0.8509075136512946,-0.09345536866633125,0.0019021002647868705,0.4963608355039598,2.5084472220250253
-1.2860207606617107,0.7207538486911591,0.018533725645544372,-0.2726726826913525,0.8465252357293614,-0.08787044698948882,-0.007325334417579549,0.4994371935952371,2.5057288413487844
-1.2828383706652695,0.7015008289778976,0.011455262299501478,-0.26181432341368294,0.8464697514591134,-0.09711912614896533,-0.013105274856379917,0.5084861030200928,2.479462914681671
-1.3003018623775817,0.7271845885277567,0.008724028103213521,-0.27696379566832624,0.8476212619500703,-0.0993589068763532,-0.023604280597317225,0.509370769339432,2.514901184715579
-1.324620404417588,0.7426689241518847,0.005232592085402753,-0.289046464668831,0.8423989556574979,-0.11052231820574311,-0.04497482835066491,0.5162520566639774,2.523648815205248
-1.3305456230173505,0.7411753214735504,-0.0008016569009667528,-0.28834975605895385,0.8367299854229554,-0.11427097108907458,-0.05285075987098558,0.5223486436306153,2.5026508020012783
-1.3066664215990558,0.712767738508591,0.024656222776472978,-0.2872514503199991,0.8505643744973254,-0.09994288581768589,-0.05877610895173649,0.5219744963465515,2.5270795007299514
-1.3032876217227771,0.7046503796329666,0.017459613426245666,-0.2937554244783732,0.8637747396661686,-0.11031578145355793,-0.04111346990767693,0.5192984426289085,2.544934751242409
-1.3356799226094642,0.6897340215526784,-0.008123167146393075,-0.2592064173390403,0.8686222098742,-0.11832863199155522,-0.048221550713708226,0.5183701640219407,2.534788347107137
-1.3390957103185261,0.6679553844492759,-0.0207245930892658,-0.2425983322501397,0.8737822443824681,-0.13744930797598356,-0.07002154457322808,0.5348386168434991,2.5243844652431564
-1.3397028138236207,0.6404777115021006,-0.011600013472736115,-0.2465527952129385,0.8909720710056981,-0.1602702742615914,-0.05980896950292988,0.5657152459262186,2.5133049213783374
-1.3343910014426155,0.6281397411910745,0.0031437802680442154,-0.2472785234107594,0.8939895655394146,-0.16005894467092863,-0.06456210026628323,0.5746264928065082,2.516267765672948
-1.3298610235917434,0.6256381345095458,0.002932228381796941,-0.23904377206338429,0.8937269329908631,-0.15870006796197933,-0.07741012242135316,0.5749793235580615,2.5190609974936993
-1.3367636508687437,0.6250614740439138,-0.006629865121943214,-0.2511113364658929,0.903353339271347,-0.174350031461258,-0.0689293585647968,0.5862571884023658,2.5324673686333474
-1.3475302641485758,0.6236925623127768,-0.00881355427916366,-0.2501800579880951,0.9071554561171811,-0.18139023965490902,-0.06650878458439023,0.5934145637720512,2.538379103683927
